gyroX, 4.27, gyroY, 249.69, gyroZ, 179.08, accX, -1.06, accY, -1.92, accZ, 0.68, Pitch, -50.80, Roll, -91.61, Yaw, 149.31
gyroX, 114.26, gyroY, 550.29, gyroZ, 214.48, accX, 0.20, accY, -0.98, accZ, 0.42, Pitch, 52.15, Roll, -178.83, Yaw, -82.01
gyroX, 284.73, gyroY, 274.84, gyroZ, 110.11, accX, -0.31, accY, 0.25, accZ, 1.39, Pitch, 5.58, Roll, -23.99, Yaw, 137.22
gyroX, 63.90, gyroY, 131.96, gyroZ, 46.75, accX, -0.17, accY, -0.08, accZ, 1.09, Pitch, 32.82, Roll, 9.23, Yaw, 151.08
gyroX, -18.92, gyroY, 290.53, gyroZ, -2.26, accX, 0.30, accY, -0.98, accZ, 0.45, Pitch, 19.55, Roll, -131.30, Yaw, 45.59
gyroX, 71.53, gyroY, 509.16, gyroZ, 11.84, accX, 0.04, accY, -0.40, accZ, 0.39, Pitch, -6.52, Roll, -61.65, Yaw, -102.90
gyroX, -2.20, gyroY, 332.52, gyroZ, 20.94, accX, -0.16, accY, -0.54, accZ, 0.46, Pitch, 38.52, Roll, -108.37, Yaw, 115.67
gyroX, -309.88, gyroY, -335.08, gyroZ, 42.66, accX, 0.55, accY, -2.04, accZ, 1.37, Pitch, 60.50, Roll, -39.79, Yaw, -65.33
gyroX, -124.76, gyroY, -128.97, gyroZ, -5.62, accX, 0.76, accY, -2.92, accZ, 0.99, Pitch, 20.93, Roll, -63.15, Yaw, -23.83
gyroX, -12.51, gyroY, -99.85, gyroZ, -75.74, accX, 0.48, accY, -1.62, accZ, 0.50, Pitch, -33.60, Roll, -78.29, Yaw, 40.23
