gyroX, 10.56, gyroY, 173.22, gyroZ, -53.96, accX, -0.19, accY, -1.66, accZ, -0.09, Pitch, -0.57, Roll, -48.28, Yaw, 151.31
gyroX, 173.46, gyroY, 380.19, gyroZ, 54.14, accX, -0.40, accY, -1.36, accZ, -0.52, Pitch, 58.10, Roll, -106.20, Yaw, 15.44
gyroX, 302.86, gyroY, 837.52, gyroZ, 99.18, accX, -0.30, accY, -1.01, accZ, -1.20, Pitch, 8.55, Roll, -64.63, Yaw, 145.04
gyroX, -167.18, gyroY, 552.19, gyroZ, -52.73, accX, -0.53, accY, -0.65, accZ, -0.66, Pitch, -44.91, Roll, -119.90, Yaw, -67.95
gyroX, -16.42, gyroY, -176.94, gyroZ, -104.61, accX, 0.38, accY, -1.32, accZ, -0.44, Pitch, 53.81, Roll, -127.64, Yaw, 48.37
gyroX, -188.72, gyroY, 350.65, gyroZ, -81.67, accX, -0.94, accY, -1.44, accZ, -0.07, Pitch, -56.11, Roll, 169.25, Yaw, 33.96
gyroX, -203.49, gyroY, 146.24, gyroZ, -84.72, accX, -0.44, accY, -1.06, accZ, 0.08, Pitch, -24.38, Roll, -1.09, Yaw, 130.85
gyroX, -121.34, gyroY, 81.48, gyroZ, -18.19, accX, -0.36, accY, -0.91, accZ, 0.19, Pitch, 5.16, Roll, -54.98, Yaw, 112.99
gyroX, -84.11, gyroY, -40.34, gyroZ, -11.47, accX, -0.20, accY, -0.66, accZ, 0.53, Pitch, 8.12, Roll, -93.45, Yaw, 121.85
gyroX, -120.97, gyroY, 61.10, gyroZ, -10.86, accX, -0.01, accY, -0.41, accZ, 0.21, Pitch, -5.28, Roll, -119.45, Yaw, 118.73
gyroX, -115.91, gyroY, -42.18, gyroZ, -2.08, accX, -0.05, accY, -0.79, accZ, 0.29, Pitch, -3.31, Roll, -166.13, Yaw, 111.05
gyroX, 56.64, gyroY, 26.92, gyroZ, 40.22, accX, -0.00, accY, -1.17, accZ, -0.06, Pitch, -9.07, Roll, -104.83, Yaw, 59.71
gyroX, -21.12, gyroY, 29.05, gyroZ, 23.50, accX, -0.26, accY, -1.25, accZ, 0.37, Pitch, -6.42, Roll, -170.59, Yaw, -183.76
gyroX, 76.54, gyroY, -322.02, gyroZ, -19.17, accX, -0.42, accY, -1.73, accZ, 0.72, Pitch, 30.35, Roll, -44.77, Yaw, -78.87
gyroX, -101.38, gyroY, -42.30, gyroZ, 13.55, accX, -0.25, accY, -1.01, accZ, 0.40, Pitch, 7.28, Roll, -71.28, Yaw, -23.28
gyroX, 47.36, gyroY, -117.61, gyroZ, 14.34, accX, -0.04, accY, -0.78, accZ, -0.10, Pitch, 9.86, Roll, -69.52, Yaw, 81.94
gyroX, 50.05, gyroY, -29.66, gyroZ, 18.19, accX, -0.04, accY, -0.53, accZ, -0.01, Pitch, -0.09, Roll, -56.46, Yaw, 117.74
gyroX, 53.28, gyroY, -22.52, gyroZ, 24.72, accX, -0.11, accY, -0.62, accZ, -0.10, Pitch, 6.65, Roll, -50.44, Yaw, 125.83
gyroX, -26.55, gyroY, -102.11, gyroZ, -8.73, accX, -0.06, accY, -0.94, accZ, -0.18, Pitch, -6.76, Roll, -68.89, Yaw, 149.78
gyroX, 85.63, gyroY, -20.94, gyroZ, -6.90, accX, -0.15, accY, -0.98, accZ, -0.07, Pitch, -13.66, Roll, -66.96, Yaw, -172.14
gyroX, 98.82, gyroY, 72.20, gyroZ, -1.22, accX, -0.47, accY, -1.02, accZ, -0.04, Pitch, 10.42, Roll, -39.08, Yaw, -188.07
gyroX, 81.30, gyroY, 172.36, gyroZ, -17.15, accX, -0.40, accY, -1.21, accZ, -0.22, Pitch, 51.33, Roll, -58.55, Yaw, 104.96
gyroX, 154.85, gyroY, 295.41, gyroZ, 27.77, accX, -0.35, accY, -1.30, accZ, -0.47, Pitch, 31.70, Roll, -118.50, Yaw, -30.89
gyroX, 199.16, gyroY, 355.90, gyroZ, 70.01, accX, -0.39, accY, -1.37, accZ, -1.28, Pitch, 12.60, Roll, -91.60, Yaw, -148.65
gyroX, -135.25, gyroY, 237.24, gyroZ, -28.08, accX, -0.87, accY, -1.57, accZ, 1.52, Pitch, 4.38, Roll, -100.56, Yaw, -118.71
gyroX, -155.58, gyroY, 48.65, gyroZ, -58.35, accX, 1.09, accY, -1.48, accZ, -0.33, Pitch, -8.53, Roll, -132.83, Yaw, -136.87
gyroX, -203.31, gyroY, 22.58, gyroZ, -73.12, accX, 0.08, accY, -1.58, accZ, 0.12, Pitch, -36.84, Roll, 176.04, Yaw, -132.67
gyroX, -219.30, gyroY, -47.00, gyroZ, -55.42, accX, -0.34, accY, -0.92, accZ, 0.17, Pitch, 4.14, Roll, -76.56, Yaw, -162.31
gyroX, -165.65, gyroY, -41.38, gyroZ, -33.94, accX, -0.33, accY, -0.72, accZ, 0.48, Pitch, 3.98, Roll, -133.09, Yaw, -157.04
gyroX, -130.92, gyroY, -115.36, gyroZ, -48.65, accX, -0.11, accY, -0.48, accZ, 0.46, Pitch, 29.87, Roll, -151.03, Yaw, -113.32
gyroX, -72.02, gyroY, 2.38, gyroZ, 1.10, accX, -0.22, accY, -0.51, accZ, 0.57, Pitch, 51.13, Roll, -144.65, Yaw, -63.86
gyroX, 80.69, gyroY, 108.76, gyroZ, 11.90, accX, -0.29, accY, -0.87, accZ, 0.33, Pitch, 13.63, Roll, -109.06, Yaw, -130.47
gyroX, 43.15, gyroY, 211.91, gyroZ, -3.30, accX, 0.07, accY, -0.74, accZ, -0.09, Pitch, 2.17, Roll, -94.97, Yaw, -183.53
gyroX, -116.88, gyroY, 149.78, gyroZ, -26.43, accX, 0.70, accY, -1.30, accZ, -1.55, Pitch, -13.03, Roll, -119.35, Yaw, 137.24
gyroX, 29.42, gyroY, -274.29, gyroZ, 3.66, accX, 0.29, accY, -1.15, accZ, -2.09, Pitch, 37.76, Roll, -105.13, Yaw, -123.95
gyroX, -22.34, gyroY, 232.36, gyroZ, -18.68, accX, -0.12, accY, -1.48, accZ, 0.26, Pitch, 12.83, Roll, -113.07, Yaw, -170.08
gyroX, -126.89, gyroY, 137.27, gyroZ, -11.41, accX, -0.24, accY, -1.41, accZ, 0.68, Pitch, -7.75, Roll, -132.95, Yaw, 160.93
gyroX, -33.87, gyroY, 27.04, gyroZ, -33.26, accX, -0.34, accY, -0.90, accZ, -0.06, Pitch, 15.93, Roll, -113.61, Yaw, -103.85
gyroX, 0.92, gyroY, 71.47, gyroZ, -1.34, accX, -0.20, accY, -0.91, accZ, -0.16, Pitch, 4.39, Roll, -112.68, Yaw, -127.74
gyroX, 19.41, gyroY, 45.23, gyroZ, 5.07, accX, -0.12, accY, -0.94, accZ, -0.28, Pitch, -8.18, Roll, -97.25, Yaw, -180.43
gyroX, 55.30, gyroY, -105.47, gyroZ, 31.25, accX, -0.04, accY, -0.87, accZ, -0.14, Pitch, 4.55, Roll, -82.94, Yaw, -147.21
gyroX, 74.77, gyroY, -88.44, gyroZ, 23.93, accX, 0.07, accY, -0.90, accZ, -0.05, Pitch, 2.66, Roll, -64.40, Yaw, -115.61
gyroX, 18.80, gyroY, 7.20, gyroZ, 5.13, accX, 0.03, accY, -0.88, accZ, -0.37, Pitch, 0.25, Roll, -65.00, Yaw, -106.18
gyroX, 36.01, gyroY, -37.35, gyroZ, 27.95, accX, 0.19, accY, -0.98, accZ, -0.70, Pitch, -9.03, Roll, -75.55, Yaw, -40.02
gyroX, -36.99, gyroY, 85.63, gyroZ, -6.65, accX, -0.15, accY, -0.98, accZ, 0.09, Pitch, 2.06, Roll, -92.51, Yaw, -104.56
gyroX, -31.80, gyroY, -63.60, gyroZ, -3.66, accX, -0.10, accY, -1.11, accZ, 0.05, Pitch, 3.00, Roll, -98.89, Yaw, -92.23
gyroX, 3.60, gyroY, -60.97, gyroZ, 8.67, accX, 0.06, accY, -1.08, accZ, -0.14, Pitch, 7.10, Roll, -89.60, Yaw, -54.23
